Key,English,Thai
PROPKARMA_TXT_000000,Glorious,รุ่งโรจน์
PROPKARMA_TXT_000002,Illustrious,มีชื่อเสียง
PROPKARMA_TXT_000004,Famed,โด่งดัง
PROPKARMA_TXT_000006,Admired,ชื่นชม
PROPKARMA_TXT_000008,Proper,เหมาะสม
PROPKARMA_TXT_000010,Kind,ใจดี
PROPKARMA_TXT_000012,Neutral,เป็นกลาง
PROPKARMA_TXT_000014,Rude,หยาบคาย
PROPKARMA_TXT_000016,Unsavory,น่ารังเกียจ
PROPKARMA_TXT_000018,Scoundrel,วายร้าย
PROPKARMA_TXT_000020,Cold Hearted,ใจเย็น
PROPKARMA_TXT_000022,Brutal,โหดร้าย
PROPKARMA_TXT_000024,Vicious,ชั่วร้าย
