Key,English,Russian
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Добыть мерцающие камни у сглазов
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Поговорить с инструктором фокусников Лиопой
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Поговорить с инструктором акробатов Тайли
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Сразиться с Потрошонком в Нереальной пустыне на Санто Моргене
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Отобрать у Руки-крюки геройский самоцвет шута
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Сразиться с Виндигго и получить его сердце
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Отобрать у Руколоба письмо Робина Теля
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,"Отобрать у паяцев книги из серии ""Жизнь замечательных героев"""
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Отнести подвеску Д'Артамиса Ате
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Отобрать у Шакалопа Черную слезу
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Сразиться с Шиндлером и получить информацию о золотом шлеме Максимилиануса
QUEST_DESTINATION_0018,Meet Kurumin.,Поговорить с Карминой
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,"Отобрать у ушатронов души героев, заключенные в камнях"
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Отобрать документы спортивного зала у Лойфа Дунгрена
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Отобрать Афишу мастера у пароботов
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Отдать документы спортивного зала Сего Песину
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Отобрать у Потрошонка печать Киу
