Key,English,Spanish
UI_EVENT_EXPBOOST,Exp Boost!,¡Impulso Exp!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,¡Mejora de Accesorios!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,¡Perforación de Armas!
UI_EVENT_PARTYEXPBOOST,Party Exp Boost!,¡Fiesta Impulso de Exp!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,¡Encuentra el Aibatt Dorado!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,¡Mata al Aibatt Dorado en las mazmorras y consigue bonificaciones!
UI_EVENT_NIGHTBOOST,Night Boost!,¡Impulso nocturno!
UI_EVENT_NIGHTBOOST_DESC,+30% Exp when it's night in game!,¡+30% Exp cuando es de noche en el juego!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 Exp!!,¡Es de noche! ¡¡Experiencia x1.3!!
UI_EVENT_NIGHTBOOST_DAY,"Sun is here, x1.3 Exp is over...","El sol está aquí, x1.3 Exp ha terminado..."
UI_EVENT_EASTER,Easter Event,Evento de Pascua
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,¡Completa Prado Eggcellent para obtener Huevo de Pascua Rosa!
UI_EVENT_SPRING,Spring Event!,¡Evento de primavera!
UI_EVENT_DIAMONDINTHESKY,Diamond in the sky,diamante en el cielo
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,¡Destruye las estrellas del cielo nocturno para obtener fragmentos de estrellas!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out.. Find them in the sky!,¡Ha llegado la noche! Las estrellas están saliendo... ¡Encuéntralas en el cielo!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","Ha pasado la noche, las estrellas van desapareciendo."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,¡Descuento en monedas de mazmorra!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,¡Gasta menos monedas de mazmorra al realizar misiones o entrar en mazmorras!
UI_EVENT_ANNIVERSARY,1 Year Anniversary!,¡Aniversario 1 año!
UI_EVENT_ANNIVERSARY_DESC,FlyFF Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,¡FlyFF Universe cumple 1 año! ¡Muchísimas gracias a todos los jugadores que hicieron posible este hito!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1 Year Anniversary Attendance,Asistencia al primer aniversario
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Login each day for 40 minutes and receive rewards!,¡Inicie sesión cada día durante 40 minutos y reciba recompensas!
UI_EVENT_FWC,Flyff World Championship,Campeonato Mundial Flyff
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,Alcance del nivel FWC
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,¡Alcanza nuevos niveles durante el período del evento y recibe recompensas! ¡Solo en el servidor del Campeonato Mundial Flyff!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear at the [FWC Manager] Ava to get more rewards!,¡Intercambia equipo FWC con Ava [Gerente FWC] para obtener más recompensas!
UI_EVENT_FWC_DESC,"The #bFlyff World Championship#nb is a global competition held until September 7th, 2023. Join this server with boosted Exp and Drops and attempt to win exceptional prizes!",El #bFlyff Campeonato Mundial#nb es una competencia global que se llevará a cabo hasta el 7 de Septiembre de 2023. ¡Únase a este servidor con Exp y Drops mejorados e intente ganar premios excepcionales!
UI_EVENT_MOCOMOCHI,Mocomochi!,Mocomochi!
UI_EVENT_UPGRADING,Upgrading!,¡Actualizando!
