Key,English,Polish
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,"Zbierz Twinke Stone, polując na Aibatt."
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Dostarcz go Instruktorowi Magów Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Dostarcz go do Acrobat Instructor Tailer.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Pozbądź się Rena z Ivilis Temple znajdującej się w południowej części Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Pozbądź się Sisif i znajdź Soulstone of Hero.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Pozbądź się Venel Guardian i znajdź Venel Heart.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Pozbądź się Rubo i znajdź List Hynana.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Pozbądź się Magicznego Błazna i znajdź Księgę Historii Bohaterów.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Dostarcz kolczyk Herena do Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Pozbądź się Shacalpiona i znajdź Tear of Darkness.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Pozbądź się Kidlera i znajdź Clue of Golden Helmet.
QUEST_DESTINATION_0018,Meet Kurumin.,Spotkaj się z Kurumin.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Pokonaj wheelem i zdobądź soul stone.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Pokonaj hoaren i zdobądź Hall Document.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Pokonaj Parochodziarza i zdobądź poster of skill(Master)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Spotkaj się z Segho i daj mu Hall Document.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Pokonaj Ren i zdobądź Seal of Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Spotkaj się z Tesar i daj mu Seal of Aenn.
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Pokonaj łowcę X i zdobądź Teardrop of Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Pokonaj krewnych i zdobądź Magic Underwear of Power.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.","Spotkaj się z Rufan, szefa niebieskiej flagi i daj mu Magic Underwear of Power."
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Spotkaj się z Parinee, kierowniczką stacji Saint City i daj jej Feather of Magic Power."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Zanieś go burmistrzowi Darkon.
QUEST_DESTINATION_0032,Defeat Organiger.,Pokonaj Organiger.
QUEST_DESTINATION_0033,Defeat Gangard.,Pokonaj Gangard.
QUEST_DESTINATION_0034,Defeat Hardeser.,Pokonaj Hardeser.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Pokonaj grupę Mia i zdobądź Raport Mia.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Spotkaj się z burmistrzem Saint City.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Pokonaj przywódcę Red Bang Theives.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Pokonaj Theives Red Bang i zdobądź symbol Thieves.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Zabij Lord Bang i zdobądź naszyjnik.
QUEST_DESTINATION_0040,Hand it to Strange Collector,Przekaż go Strange Collector
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,Po zabiciu Red Mantis C poszukaj jajka
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Przynieś to do Dr. Estern
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Przynieś to do Dr. Estly
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,"Proszę, przekaż go burmistrzowi w Darkon"
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,Zanieś go do prezesa Towarzystwa Historycznego Gothante.
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,Zanieś go do kierownika starożytnego dokumentu Rovanett
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,Zanieś to Wielkiemu Magowi Laola
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,Zanieś to historykowi Martinyc
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,Zanieś to do instruktora najemników Hyuit
QUEST_DESTINATION_0061,Kill Small Mushpang,Zabij Small Mushpang
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Zanieś to do asystenta instruktora Kidmen
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Zanieś to do Hachal we Flarine
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Zanieś to do Hachal in Darkon
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,"Odbierz pocztę od Rankashu, który stoi przed kopalnią Dekane"
QUEST_DESTINATION_0067,Drian exists in the first room,Drian przebywa w pierwszym pokoju
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,Zabij Keakoon w trzecim pokoju i zdobądź klucz.
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,"Przejdź do trzeciego pokoju i sprawdź celę, w której zamknięty jest Nevil."
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Zabij Elite Keakoon Guard Leaders w trzecim pokoju.
QUEST_DESTINATION_0071,Talk with Nevin in prison,Porozmawiaj z Nevinem w więzieniu
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Rozbij jajko Roach w piątym pokoju i zdobądź 15 płynów Pink Roach
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Rozbij jajko Roach w czwartym pomieszczeniu i zdobądź 15 płynów Blue Roach
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Zdobądź 30 Cillinów w pobliżu
QUEST_DESTINATION_0077,Meet Kazen,Spotkaj się z Kazen
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,Wyrusz do Kazen i zabij Green Trillipy. Następnie zdobądź 30 Ribenuums
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,Możesz znaleźć Neina w Dead Waldernis w Darkon 3 i zrobić „Finding Tridum”. Następnie zbierz 10 Ribenuums
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.",Porozmawiaj z Cell w Darkon 1 i wykonaj 'Trace of ID card'. Po zdobyciu klucza możesz zdobyć 20 Tridum.
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Przynieś Ribenuum do Nein
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,W pobliżu możesz zobaczyć Mutant Fefern i Mutant Nyangnyang Queen.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,Zabij Vice Veduque mieszkającego w ostatnim pomieszczeniu Mars dungeon.
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,"Istnieje w Iblis, a objawienie znajdziesz w ostatnim pokoju po lewej."
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Zabij 8 Iblis Crashers w świątyni Iblis.
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Zabij jednego Iblisa Guardiana w Świątyni Iblis.
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,Zabij Iblisa Guardiana w Iblis i zdobądź 1 Pattern of Iblis Guardian.
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,Proszę kupić Długi Miecz od NPC Luda.
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.",Po rozmowie z Drianem zdobądź sakiewkę.
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,W pobliżu istnieje grupa Organigorów.
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,W pobliżu istnieje grupa Gangardów.
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,W pobliżu istnieje grupa Hadeseorów.
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion dał Ci Fragment Wspomnienia.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Reodos dał Ci Wisiorek Bohatera Żywiołów.
QUEST_DESTINATION_1002,Zoro gave you this letter.,Zoro przekazał Ci list.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Zanieś ten list do Zoro.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,Otrzymałeś Pierścień Obietnicy od Pająkoszy.
QUEST_DESTINATION_1005,Bring this Letter to Dior.,Zanieś ten list do Diora.
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,Zanieś ten wisiorek bohatera Reonanowi.
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,Otrzymałeś Wisiorek Bohatera od Bearnerkys.
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,Zanieś tę Rudę Agonii do Ainher
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Symbols of Shade drop from Violet masquerpets with a level close to yours.
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,Collect Erons from Erons Catchers.
