Key,English,Portuguese
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Ressurgir
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Estação
ETC_INC_000020,Weapon,Armas
ETC_INC_000021,Armor,Armaduras
ETC_INC_000022,Food,Alimentos
ETC_INC_000023,Magic,Mágicos
ETC_INC_000024,General,Geral
ETC_INC_000025,Public Office,Escritório Público
ETC_INC_000026,Quest Office,Central de Missões
ETC_INC_000027,Shield,Escudos
ETC_INC_000028,Warpzone,Zona de Escape
ETC_INC_100001,Rainbow Race,Corrida do Arco-Íris
ETC_INC_100000,Instance,Instância
