Key,English,Russian
PROPKARMA_TXT_000000,Glorious,Светлая Звезда
PROPKARMA_TXT_000002,Illustrious,Спасаю-Слабых
PROPKARMA_TXT_000004,Famed,Чистое Сердце
PROPKARMA_TXT_000006,Admired,Само Милосердие
PROPKARMA_TXT_000008,Proper,Сама Порядочность
PROPKARMA_TXT_000010,Kind,Добрая Душа
PROPKARMA_TXT_000012,Neutral,До-Других-Дела-Нет
PROPKARMA_TXT_000014,Rude,Увижу-Обижу
PROPKARMA_TXT_000016,Unsavory,С Темной Улочки
PROPKARMA_TXT_000018,Scoundrel,С Большой Дороги
PROPKARMA_TXT_000020,Cold Hearted,Ледяное Сердце
PROPKARMA_TXT_000022,Brutal,Режу-потом-Спрашиваю
PROPKARMA_TXT_000024,Vicious,Гений Злодейства
