Key,English,Portuguese
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,Uma solicitação de $QUEST_END_ITEM_NAME$ surgiu. Você vai aceitar essa quest?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Uma solicitação de Bandagens Grrr surgiu.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Uma solicitação de Amperes surgiu
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,Foi feita uma solicitação de Boopoison para fazer um antídoto. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,Uma solicitação de $QUEST_END_ITEM_NAME$ acabou de surgir.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,Surgiu uma requisição de Troncos para ser utilizado como material de trabalho em madeira. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,Você pode obter $QUEST_END_ITEM_NAME$ de qualquer tipo de $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Você pode coletar $QUEST_END_ITEM_NAME$ de todos os tipos de $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,Você pode coletar $QUEST_END_ITEM_NAME$ perto da ponto no Norte.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Você pode coletar Diplomas Desconhecidos perto dos Bangs.
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Você pode coletar nyanyang perto de Nyangnyang Gigante.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Você pode coletar os documentos de escritório perto das Mias.
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,Você não quer coletá-los? Ok.
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,Você precisa de mais $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,Você não tem $QUEST_END_ITEM_NAME$ suficiente.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Muito bem. Você concluiu a quest de forma bem-sucedida.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,Parabéns! Você concluiu a quest de forma bem-sucedida. Pegue isso pelo incômodo.
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ estava feliz pela conclusão da quest.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ estava feliz em ver a quest concluída.
