Key,English,Thai
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,รวบรวม Twinke Stone โดยการล่า Aibatt
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,ส่งมอบให้ Magician Instructor Lopaze
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,ส่งให้ Acrobat Instructor Tailer
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,กำจัด Ren จากวัด Iblis ซึ่งอยู่ทางใต้ของ Saint Morning
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,กำจัด Sisif และค้นหา Soulstone of Hero
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,กำจัด Venel Guardian และค้นหา Venel Heart
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,กำจัด Rubo และค้นหา Letter of Hynan
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,กำจัด Prankster และค้นหา History Book of Heroes
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,มอบ Earring of Heren ให้ Ata
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,กำจัด Shacalpion และค้นหา Tear of Darkness
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,กำจัด Kidler และค้นหาเบาะแสของ Golden Helmet
QUEST_DESTINATION_0018,Meet Kurumin.,ไปพบกับ Kurumin
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,เอาชนะ wheelem และรับ soul stone
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,กำจัด hoaren และรับ Hall Document
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),เอาชนะ Steam walker และรับโปสเตอร์ของสกิล (Master)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,ไปพบ Segho และมอบ Hall Document ให้เขา
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,กำจัด Ren และรับ Seal of Aenn
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,ไปพบกับ Tesar และมอบ Seal of Aenn ให้เขา
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,กำจัดฮันเตอร์ X และรับ Teardrop of Aenn
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,เอาชนะ the kinsay และรับ Magic Underwear of Power
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.",ไปพบกับ Rufan หัวหน้าธงฟ้า และมอบ Magic Underwear of Power ให้เขา
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.",ไปพบกับ Parinee ผู้จัดการสถานี Saint City และมอบ Feather of Magic Power ให้เธอ
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,นำไปให้นายกเทศมนตรี Darkon
QUEST_DESTINATION_0032,Defeat Organiger.,กำจัด Organiger
QUEST_DESTINATION_0033,Defeat Gangard.,กำจัด Gangard
QUEST_DESTINATION_0034,Defeat Hardeser.,กำจัด Hardeser
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,กำจัดกลุ่มของ Mia และรับ Mia Report
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,ไปพบกับนายกเทศมนตรีเมือง Saint City
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,ปราบหัวหน้าโจรแดง
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,ปราบโจรแดงและรับสัญลักษณ์ของโจร
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,ฆ่า Lord Bang แล้วรับสร้อยคอ
QUEST_DESTINATION_0040,Hand it to Strange Collector,ส่งให้ Strange Collector
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,มองหาไข่หลังจากฆ่า Red Mantis C
QUEST_DESTINATION_0043,Bring it to Dr. Estern,นำไปให้ Dr. Estern
QUEST_DESTINATION_0044,Bring it to Dr. Estly,นำไปให้ Dr. Estly
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,โปรดมอบให้แก่นายกเทศมนตรีเมือง Darkon
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,นำไปให้ประธานสมาคมประวัติศาสตร์ Gothante
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,นำไปให้ผู้จัดการเอกสารโบราณ Rovanett
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,นำไปให้ Great Magician Laola
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,นำไปให้นักประวัติศาสตร์ Martinyc
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,นำไปให้ Mercenary Instructor Hyuit
QUEST_DESTINATION_0061,Kill Small Mushpang,กำจัด Small Mushpang
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,นำไปให้ Assist Instructor Kidmen
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,นำไปให้ Hachal ใน Flarine
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,นำไปให้ Hachal ใน Darkon
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,รับจดหมายจาก Rankashu ที่ยืนอยู่หน้า Dekane Mine
QUEST_DESTINATION_0067,Drian exists in the first room,Drian อยู่ในห้องแรก
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,กำจัด Keakoon ในห้องที่สามและรับกุญแจ
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,ย้ายไปที่ห้องที่สามและตรวจสอบคุกที่ Nevil ถูกขังไว้
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,กำจัด Elite Keakoon Guard Leadersในห้องที่สาม
QUEST_DESTINATION_0071,Talk with Nevin in prison,คุยกับ Nevin ในคุก
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,ทำลายไข่แมลงสาบในห้องที่ห้าและรับ Pink Roach Fluids 15 อัน
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,ทำลายไข่แมลงสาบในห้องที่สี่และรับ Blue Roach Fluids 15 อัน
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,รับ 30 Cillins ในบริเวณใกล้เคียง
QUEST_DESTINATION_0077,Meet Kazen,ไปพบกับ Kazen
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,ย้ายไปที่ Kazen อยู่ และกำจัด Green Trillipy จากนั้นรับ Ribenuums 30 อัน
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,คุณสามารถหา Nein ได้ใน Dead Waldernis of Darkon 3 และทำ 'Finding Tridum' แล้วเก็บ Ribenuums 10 อัน
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.",คุยกับ Cell ใน Darkon 1 แล้วทำ 'Trace of ID card' หลังจากได้รับกุญแจแล้ว คุณจะได้รับ Tridum 20 ชิ้น
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,นำ Ribenuum ไปให้ Nein
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,คุณสามารถเห็น Mutant Fefern และ Mutant Nyangnyang Queen ได้ในบริเวณใกล้เคียง
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,สังหาร Vice Veduque ที่อาศัยอยู่ในห้องสุดท้ายของ Mars Dungeon
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,มีอยู่ใน Iblis และสามารถพบการเปิดเผยได้ในห้องสุดท้ายทางซ้ายมือ
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,สังหาร Iblis Crashers 8 ตัวในวัด Iblis
