Key,English,Thai
UI_EVENT_EXPBOOST,Exp Boost!,Exp Boost!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,เครื่องประดับอัพเกรด!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,การเจาะอาวุธ!
UI_EVENT_PARTYEXPBOOST,Party Exp Boost!,เพิ่ม EXP ปาร์ตี้!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,หา Golden Aibatt!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,ฆ่า Golden Aibatt ในดันเจี้ยนแล้วรับโบนัสดรอป
UI_EVENT_NIGHTBOOST,Night Boost!,Night Boost!
UI_EVENT_NIGHTBOOST_DESC,+30% Exp when it's night in game!,+30% Exp เมื่ออยู่ในช่วงเวลากลางคืนในเกม!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 Exp!!,คืนนี้ x1.3 Exp!!
UI_EVENT_NIGHTBOOST_DAY,"Sun is here, x1.3 Exp is over...",เช้าแล้ว x1.3 Exp สิ้นสุดลง...
UI_EVENT_EASTER,Easter Event,กิจกรรม Easter
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,เคลียร์ Eggcellent's Meadow เพื่อรับ Pink Easter Eggs!
UI_EVENT_SPRING,Spring Event!,กิจกรรม Event!
UI_EVENT_DIAMONDINTHESKY,Diamond in the sky,เพชรบนท้องฟ้า
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,ทำลายดวงดาวบนท้องฟ้ายามค่ำคืนเพื่อรับชิ้นส่วนดวงดาว!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out.. Find them in the sky!,ราตรีมาถึงแล้ว! ดวงดาวปรากฏออกมา.. หาให้เจอบนท้องฟ้า!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.",กลางคืนผ่านไปแล้ว ดวงดาวก็หายไปด้วย
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,ส่วนลด Dungeon Coins!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,ใช้ Dungeon Coins น้อยลงเมื่อทำภารกิจหรือเข้าดันเจี้ยน!
UI_EVENT_ANNIVERSARY,1 Year Anniversary!,1 Year Anniversary!
UI_EVENT_ANNIVERSARY_DESC,FlyFF Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,FlyFF Universe มีอายุครบ 1 ขวบแล้ว! เราขอขอบคุณผู้เล่นทุกคน ที่ทำให้พวกเรามาถึงจุดนี้ได้!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1 Year Anniversary Attendance,เข้าร่วม 1 Year Anniversary
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Login each day for 40 minutes and receive rewards!,เข้าสู่ระบบวันละ 40 นาทีแล้วรับรางวัล!
UI_EVENT_FWC,Flyff World Championship,Flyff World Championship
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,ถึงระดับเลเวล FWC 
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,ไปถึงเลเวลใหม่ในช่วงระยะเวลากิจกรรมและรับรางวัล! เฉพาะเซิร์ฟเวอร์ Flyff World Championship เท่านั้น!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear at the [FWC Manager] Ava to get more rewards!,แลกเปลี่ยนอุปกรณ์ FWC ที่ [ผู้จัดการ FWC] Ava เพื่อรับรางวัลเพิ่มเติม!
UI_EVENT_FWC_DESC,"The #bFlyff World Championship#nb is a global competition held until September 7th, 2023. Join this server with boosted Exp and Drops and attempt to win exceptional prizes!",#bFlyff World Championship#nb เป็นการแข่งขันระดับโลกที่จัดขึ้นจนถึงวันที่ 7 กันยายน 2023 เข้าร่วมเซิร์ฟเวอร์นี้พร้อมกับ Exp พร้อมอัตราดรอปที่เพิ่มขึ้น และพยายามคว้ารางวัลสุดพิเศษ!
UI_EVENT_MOCOMOCHI,Mocomochi!,Mocomochi!
UI_EVENT_UPGRADING,Upgrading!,กำลังอัพเกรด!
UI_EVENT_LUCKYCAPSULE,Lucky Draw!,Lucky Draw!
UI_EVENT_LUCKYCAPSULE_DESC,Earn coins by defeating monsters or completing quests for the Gacha Machine NPC and receive exceptional rewards!,รับเหรียญโดยการเอาชนะมอนสเตอร์หรือทำภารกิจกับ NPC Gacha Machine และรับรางวัลสุดพิเศษ!
UI_EVENT_DROPBOOST,Drop Boost!,เพิ่มอัตราดรอป!
UI_EVENT_SUITPIERCING,Suit Piercing!,เจาะชุด!
UI_EVENT_MUSICFESTIVAL,Flyff Music Festival!,Flyff Music Festival!
UI_EVENT_MUSICFESTIVAL_DESC,Collect Music Notes and Music Score Scrolls from monsters and exchange them to NPC Bach,รวบรวม Music Notes และ Music Score Scrolls จากมอนสเตอร์และแลกเปลี่ยนกับ NPC Bach
UI_EVENT_EXPBOOST_DESC_30,+30% Experience!,Exp. +30%!
UI_EVENT_PARTYEXPBOOST_DESC_30,+30% Party Experience!,Party Exp. +30%!
UI_EVENT_SECRETBOOST,Secret boost!,Secret boost!
UI_EVENT_RESCUE,Rescue Private Leo!,ช่วยพลทหาร Leo!
UI_EVENT_STONERAIN,Stone Rain!,Stone Rain!
UI_EVENT_STONERAIN_DESC,Drop upgrade stones pieces!,ดรอปชิ้นส่วนหินอัพเกรด!
UI_EVENT_LUCKYRPS,Lucky RPS Event,กิจกรรม Lucky RPS
UI_EVENT_SERVICEMIGRATION,September Connect,เข้าสู่ระบบในเดือนกันยายน
UI_EVENT_SURVEY,Player Survey! Aim for special rewards!,แบบสำรวจผู้เล่น! เพื่อรับรางวัลพิเศษ!
UI_EVENT_SURVEY_DESC,Visit https://linktr.ee/flyffuniverse,เวปไซต์ https://linktr.ee/flyffuniverse
UI_EVENT_OKTOBERFEST,Oktoberfest!,Oktoberfest!
UI_EVENT_TIME_TO_HUNT,Time to Hunt,ได้เวลาล่า
UI_EVENT_TIME_TO_HUNT_DIALOG,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?",ปีนี้ถือเป็นปีแห่งการเก็บเกี่ยวผลผลิต จึงมีมอนสเตอร์มากมายออกกินผลผลิต \nตอนนี้ถึงเวลาล่าพวกมันแล้ว! คุณช่วยพวกเราได้ไหม?
UI_EVENT_TRICKORTREAT,Trick or Treat,Trick or Treat
UI_EVENT_HALLOWEEN_WORLDBOSS,Halloween World Bosses,Halloween World Bosses
UI_EVENT_CATCHTHETHIEFSANTA,Catch the Thief Santa,ตามจับ Thief Santa
UI_EVENT_NEWYEAR,New Year,ปีใหม่
UI_EVENT_BOSSDROPBOOST,Boss Drop Boost!,เพิ่มอัตราดรอปจากบอส!
