Key,English,Russian
TEXTEMOTION_TXT_000000,Laugh,Смех
TEXTEMOTION_TXT_000001,Sad,грустно
TEXTEMOTION_TXT_000002,Kiss,поцелуй
TEXTEMOTION_TXT_000003,Surprise,удивительно
TEXTEMOTION_TXT_000004,Blush,краснею
TEXTEMOTION_TXT_000005,Anger,гнев
TEXTEMOTION_TXT_000006,Sigh,вздох
TEXTEMOTION_TXT_000007,Wink,подмигнуть
TEXTEMOTION_TXT_000008,Ache,больно
TEXTEMOTION_TXT_000009,Hunger,хочу есть
TEXTEMOTION_TXT_000010,Yummy,Вкусно
TEXTEMOTION_TXT_000011,Sneer,пф-ф
TEXTEMOTION_TXT_000012,Sparkle,красота
TEXTEMOTION_TXT_000013,Ridicule,насмешка
TEXTEMOTION_TXT_000014,Sleepy,спать
TEXTEMOTION_TXT_000015,Rich,я богат
TEXTEMOTION_TXT_000016,Glare,ярость
TEXTEMOTION_TXT_000017,Sweat,усталость
TEXTEMOTION_TXT_000018,Cat face,ня
TEXTEMOTION_TXT_000019,Tongue,дразнилка
TEXTEMOTION_TXT_000020,Mad,бешенство
TEXTEMOTION_TXT_000021,Aha,ага
TEXTEMOTION_TXT_000022,Embarrassed,стыдно
TEXTEMOTION_TXT_000023,Help,помогите
TEXTEMOTION_TXT_000024,Crazy,безумие
TEXTEMOTION_TXT_000025,Oh!,ой
TEXTEMOTION_TXT_000026,Confused,э-э
TEXTEMOTION_TXT_000027,Ouch,ох
TEXTEMOTION_TXT_000028,Love,любовь
TEXTEMOTION_TXT_100000,Risitas,Хихикнуть
TEXTEMOTION_TXT_100001,Broken Heart,Разбитое сердце
TEXTEMOTION_TXT_100002,Sadge,Разочарование
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
