Key,English,Thai
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,คำขอ $QUEST_END_ITEM_NAME$ ออกไปแล้ว คุณจะยอมรับภารกิจนี้หรือไม่?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,คำขอผ้าพันแผลของ Grrr ได้ออกไปแล้ว
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,คำขอของ Amperes ออกไปแล้ว
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,มีการร้องขอให้ Boopoison ทำยาแก้พิษ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,มีการส่งคำขอสำหรับ $QUEST_END_ITEM_NAME$ แล้ว
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,มีการร้องขอให้ Rootioe ใช้เป็นวัสดุสำหรับงานไม้ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,คุณสามารถรับ $QUEST_END_ITEM_NAME$ จาก $QUEST_END_ITEM_MON$ ประเภทใดก็ได้
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,คุณสามารถรวบรวม $QUEST_END_ITEM_NAME$ จาก $QUEST_END_ITEM_MON$ ทุกประเภท
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,คุณสามารถรวบรวม $QUEST_END_ITEM_NAME$ ใกล้สะพานทางเหนือ
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,คุณสามารถรวบรวม Unknown Certificates ใกล้ Bangs
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,คุณสามารถรวบรวม nyanyang ใกล้ Giant Nyangnyang
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,คุณสามารถรวบรวมเอกสารสำนักงานใกล้ Mias
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,คุณไม่ต้องการจะเก็บมันงั้นเรอะ? เข้าใจแล้ว
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,คุณต้องการ $QUEST_END_ITEM_NAME$ เพิ่มอีก
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,คุณมี $QUEST_END_ITEM_NAME$ ไม่เพียงพอ
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,ทำได้ดีมาก คุณทำภารกิจสำเร็จแล้ว
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,ทำได้ดีมาก! คุณทำภารกิจสำเร็จแล้ว ใช้สิ่งนี้สำหรับปัญหาของคุณ
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ มีความสุขที่ภารกิจเสร็จสิ้น
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ มีความสุขที่ภารกิจเสร็จสิ้น
