Key,English,Russian
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Звезда Жизни
ETC_INC_000018,Lodelight,Маяк Жизни
ETC_INC_000019,Station,Воздушный порт
ETC_INC_000020,Weapon,Оружейная лавка
ETC_INC_000021,Armor,Лавка доспехов
ETC_INC_000022,Food,Продуктовая лавка
ETC_INC_000023,Magic,МагОзин
ETC_INC_000024,General,Лавка полезных мелочей
ETC_INC_000025,Public Office,Банк
ETC_INC_000026,Quest Office,Бюро помощи
ETC_INC_000027,Shield,Лавка щитов
ETC_INC_000028,Warpzone,Порталы
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Instance
