Key,English,Traditional_Chinese
UI_EVENT_EXPBOOST,Exp Boost!,經驗值提升
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,配件升級！
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,武器穿洞！
UI_EVENT_PARTYEXPBOOST,Party Exp Boost!,組隊經驗值提升
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,發現黃金獨眼蝙蝠
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,在副本中獵殺黃金艾巴特並獲得掉落獎勵！
UI_EVENT_NIGHTBOOST,Night Boost!,夜間提升
UI_EVENT_NIGHTBOOST_DESC,+30% Exp when it's night in game!,遊戲中夜間+30% 經驗值！
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 Exp!!,晚上！經驗值 x1.3 倍！！
UI_EVENT_NIGHTBOOST_DAY,"Sun is here, x1.3 Exp is over...",太陽出來了，1.3倍經驗值結束了…
UI_EVENT_EASTER,Easter Event,復活節活
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,完成蛋細胞的草地即可獲得粉紅色復活節彩蛋！
UI_EVENT_SPRING,Spring Event!,春天活動
UI_EVENT_DIAMONDINTHESKY,Diamond in the sky,天空中的鑽石
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,摧毀夜空中的星星以獲得星星碎片！
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out.. Find them in the sky!,夜幕降臨了！ 星星出來了..在天空中找到它們！
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.",夜幕已過，星星漸漸消失。
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,副本金幣折扣！
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,執行任務或進入副本時花費更少的副本幣！
UI_EVENT_ANNIVERSARY,1 Year Anniversary!,一周年！
UI_EVENT_ANNIVERSARY_DESC,FlyFF Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,FlyFF Universe 即將迎來 1 歲生日！ 非常感謝所有飛行者使這一里程碑成為可能！
UI_EVENT_ANNIVERSARY_ATTENDANCE,1 Year Anniversary Attendance,出席一周年紀念
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Login each day for 40 minutes and receive rewards!,每天登入40分鐘即可領取獎勵
UI_EVENT_FWC,Flyff World Championship,Flyff世界錦標賽
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,FWC 等級達成
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,活動期間達到新等級並獲得獎勵！ 僅在 Flyff 世界錦標賽伺服器上！
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear at the [FWC Manager] Ava to get more rewards!,在【FWC管理員】Ava處兌換FWC裝備即可獲得更多獎勵！
UI_EVENT_FWC_DESC,"The #bFlyff World Championship#nb is a global competition held until September 7th, 2023. Join this server with boosted Exp and Drops and attempt to win exceptional prizes!",#bFlyff 世界錦標賽#nb 是一項全球比賽，持續至 2023 年 9 月 7 日。加入該伺服器即可獲得更高的經驗和掉落，並試試贏得非凡獎品！
UI_EVENT_MOCOMOCHI,Mocomochi!,摩可摩奇
UI_EVENT_UPGRADING,Upgrading!,升級!
UI_EVENT_LUCKYCAPSULE,Lucky Draw!,幸運抽獎！
UI_EVENT_LUCKYCAPSULE_DESC,Earn coins by defeating monsters or completing quests for the Gacha Machine NPC and receive exceptional rewards!,透過擊敗怪物或完成扭蛋機 NPC 的任務來賺取金幣並獲得特殊獎勵！
UI_EVENT_DROPBOOST,Drop Boost!,下降增益
UI_EVENT_SUITPIERCING,Suit Piercing!,套裝穿刺！
UI_EVENT_MUSICFESTIVAL,Flyff Music Festival!,Flyff音樂祭
UI_EVENT_MUSICFESTIVAL_DESC,Collect Music Notes and Music Score Scrolls from monsters and exchange them to NPC Bach,從怪物身上收集音符和樂譜卷軸並與 NPC 巴赫交換
UI_EVENT_EXPBOOST_DESC_30,+30% Experience!,+30%經驗!
UI_EVENT_PARTYEXPBOOST_DESC_30,+30% Party Experience!,+30%組隊經驗!
UI_EVENT_SECRETBOOST,Secret boost!,秘密增益!
UI_EVENT_RESCUE,Rescue Private Leo!,營救二等兵李奧！
UI_EVENT_STONERAIN,Stone Rain!,石雨！
UI_EVENT_STONERAIN_DESC,Drop upgrade stones pieces!,掉落升級石碎片！
UI_EVENT_LUCKYRPS,Lucky RPS Event,幸運RPS活動
UI_EVENT_SERVICEMIGRATION,September Connect,九月連線
UI_EVENT_SURVEY,Player Survey! Aim for special rewards!,玩家調查！ 爭取特別獎勵！
UI_EVENT_SURVEY_DESC,Visit https://linktr.ee/flyffuniverse,點此了解詳情！ https://linktr.ee/flyffuniverse
UI_EVENT_OKTOBERFEST,Oktoberfest!,慕尼黑啤酒節！
UI_EVENT_TIME_TO_HUNT,Time to Hunt,狩獵時間
UI_EVENT_TIME_TO_HUNT_DIALOG,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?",今年是豐收年，所以有很多怪物出來搶莊稼。\n是時候追捕他們了！ 你能幫我嗎？
UI_EVENT_TRICKORTREAT,Trick or Treat,不給糖就搗蛋 
UI_EVENT_HALLOWEEN_WORLDBOSS,Halloween World Bosses,萬聖節世界魔王
UI_EVENT_CATCHTHETHIEFSANTA,Catch the Thief Santa,抓住小偷聖誕老人
UI_EVENT_NEWYEAR,New Year,新年
UI_EVENT_BOSSDROPBOOST,Boss Drop Boost!,Boss掉落加成！
UI_EVENT_BOSSDROPBOOST_DESC_20,Dungeon Boss Drop+20%!,副本Boss掉寶+20%!
UI_EVENT_WEATHERBOOST,Weather Boost!,天氣加成!
