Key,English,Spanish
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,Hemos recibido un pedido de $QUEST_END_ITEM_NAME$s para hacer vendajes de tratamiento medico para los pacientes. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Hemos recibido un pedido de Vendajes de Grrr para hacer vendajes de tratamiento médico para los pacientes.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Hemos recibido un pedido de Amperes. Es el material radioactivo que los Enanos necesitan para trabajar por las noches.
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,Hemos recibido un pedido de Veneno de Boo para crear un antídoto. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,Hemos recibido un pedido de $QUEST_END_ITEM_NAME$s para crear un antídoto.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,"Hemos recibido un pedido de Rootioe, que se utiliza como material substituto a los materiales de la carpintería, porque se están acabando. ¿Aceptas esta misión?"
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,Puedes conseguir $QUEST_END_ITEM_NAME$ de cualquier tipo de $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Puedes conseguir $QUEST_END_ITEM_NAME$ de todos los tipos de $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,Puedes recolectar $QUEST_END_ITEM_NAME$ cerca del puente que hay al norte.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Puedes recolectar Certificados Desconocidos cerca de los Bangs.
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Puedes recolectar Nyanyang cerca de la Nyangnyang Gigante.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Puedes recolectar los Documentos de Oficina cerca de las Mias.
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,¿No quieres recolectarlos? Vale.
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,Necesitas más $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,No tienes suficientes $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Bien hecho. Has completado la misión con éxito.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,¡Buen trabajo! ¡Has completado la misión con éxito! Toma esto por los problemas ocasionados.
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ esta feliz de que se haya completado la misión.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ se alegra de ver la que la misión está completada.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ está muy agradecida contigo por haber completado esta misión.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,La Fiesta de Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Is necesita que consigas Chupims para su fiesta. ¿Ayudarás?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Is quiere que consigas Chupims para su fiesta.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Situación Desconocida (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,El Pang de Flaris necesita Cartas Desconocidas. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,El Pang de Flaris quiere $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,El Pang de Flaris necesita Certificados Desconocidos. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Tabla Voladora
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior necesita que consigas Peakyrinds para la producción en masa de Tablas Voladoras. ¿Ayudarás?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Dior quiere que consigas Peakyrinds para la producción en masa de Tablas Voladoras.
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Nuevo Comienzo para Mop
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,La Casa de Niños necesita Mops. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,La Casa de Niños quiere que consigas 3 Mops.
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Gemas para Varitas
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,La Unión de Magicians de Madrigal necesita Poporams para fabricar sus Varitas. ¿Les ayudarás?
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,La Unión de Magicians de Madrigal quiere que consigas 4 Poporams para fabricar Varitas.
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",La Máquina de Galletas de Valin Baget
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin necesita Slains para fabricar combustible para su Máquina de Galletas. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Valin necesita Slains para fabricar combustible para su Máquina de Galletas.
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Pluma Mágica
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Mule quiere que consigas Raíces Tarin para poder hacer una nueva pluma mágica. ¿Le ayudarás?
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Mule necesita Raíces Tarin para crear una nueva Pluma Mágica.
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Lyangglatang
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,Rooney quiere que consigas Nyanyangs para su fiesta. ¿Ayudarás?
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Rooney necesita que consigas Nyanyangs para su fiesta.
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,El regalo del décimo aniversario
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Marche quiere que consigas Piedras Estelares para hacer un regalo de décimo aniversario. ¿La ayudarás?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche necesita Piedras Estelares para hacer un regalo de décimo aniversario.
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,El Licor de Dunkan
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Dunkan necesita Alas Doradas para hacer un nuevo licor. ¿Le ayudarás?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan quiere Alas Doradas para hacer un nuevo licor.
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Un Postre muy Dulce
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Damian necesita Miel Azul para hacer un postre nuevo. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Damian necesita Miel Azul para hacer un postre nuevo.
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Muñeca Bendecida
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,La Casa de Niños necesita Muñecas Mia para hacer regalos a sus niños. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,La Casa de Niños quiere Muñecas Mia para hacer regalos a sus niños.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Documentos Perdidos
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Julia necesita recuperar unos Documentos de Oficina que han robado las Mias. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Julia necesita recuperar los Documentos de Oficina que han robado las Mias.
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,El Fuego Quema
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Bozman necesita Cerillas Furiosas para usarlas en su horno. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Bozman quiere Cerillas Furiosas para usarlas en su horno.
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Situacion Desconocida (2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,El Pang de Flaris necesita Cartas Desconocidas. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,El Flaris Pang necesita Cartas Desconocidas otra vez.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,Una Salsa Deliciosa
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kalin necesita Cardrins para hacer una deliciosa salsa.
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Kalin quiere Cardrins para hacer una deliciosa salsa.
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Orbe Magico
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin necesita Hammarbles para fabricar un Orbe Mágico. ¿Le ayudarás?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Martin quiere Hammarbles para fabricar un Orbe Mágico.
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,La Marca de Bill
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill necesita Gigglandes para crear su marca. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Bill quiere Gigglandes para crear su marca.
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Trabajo de Reparación en el Ayuntamiento de Saint
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Helena necesita Piedras Crecientes para reparar el Ayuntamiento de Saint. ¿Ayudarás?
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Helena quiere $QUEST_END_ITEM_NAME$s para reparar el Ayuntamiento de Saint.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Ayuda a los animales heridos
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,La Asociación de Animales de Madrigal necesita Bobands para ayudar a los animales heridos. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,La Asociación de Animales de Madrigal quiere Bobands para ayudar a los animales heridos.
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,Un Coleccionista Extraño
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,El Coleccionista Extraño necesita Dumblings para su colección. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,Para la Esposa
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Mayer necesita Kalins para hacerle un regalo a su esposa. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Mayer quiere Kalins para hacerle un regalo a su esposa.
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Corazón Débil
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Helena necesita Corazones del Tiempo para hacerle un corazón nuevo a su hermano enfermo. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Mármol del Demonio
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,Bill necesita Tumbas de Mármol para fabricar mármol del demonio. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Bill quiere Tumbas de Mármol para fabricar el mármol del demonio.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,El Sueño de todo Guerrero
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,Los Guerreros necesitan Puños Dorados para hacer un guante de oro. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,Los Guerreros quieren Puños Dorados para hacer un guante de oro.
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Canicas para el Hijo
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Mayer necesita Orbrins para hacer canicas para su hijo. ¿Aceptas esta misión?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Mayer quiere Orbrins para hacer canicas para su hijo.
