Key,English,Spanish
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Consigue Twinke Stones cazando Aibatts.
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Entrégaselo a la Instructora Magician Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Entrégaselo a la Instructora Acrobat Tailer.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,"Deshazte de Ren, cerca del Templo de Iblis ubicado en la parte sur de Saint Morning."
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Deshazte de Sisif y encuentra la Piedra de Alma del Héroe.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Deshazte del Guardián Venel y consigue el Corazón de Venel.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Deshazte de Rubo y consigue la Carta de Hynan.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Deshazte de los Prankster y encuentra el Libro de Historia de los Héroes.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Entrega el Pendiente de Heren a Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Deshazte del Shacalpion y consigue la Lágrima de Oscuridad.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Deshazte de Kidler y encuentra la Pista del Casco Dorado.
QUEST_DESTINATION_0018,Meet Kurumin.,Reúnete con Kurumin.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Derrota a los Wheelem y consigue la piedra de alma.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Derrota a Hoaren y consigue el Documento de la Sala.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Derrota a los Steam Walkers y consigue el Póster de Habilidad (Maestro)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Reúnete con Segho y entrégale el Documento de la Sala.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Derrota a Ren y consigue el Sello de Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Reúnete con Tesar y dale el Sello de Aenn.
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Derrota al Hunter X y consigue la Lágrima de Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Derrota a Kinsay y consigue la Ropa Interior Mágica del Poder.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.","Reúnete con Rufan, el jefe de la bandera azul y dale la Ropa Interior Mágica del Poder."
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Reúnete con Parinee, la administradora de la estación de Saint y dale la Pluma del Poder Mágico."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Llévaselo al alcalde de Darkon.
QUEST_DESTINATION_0032,Defeat Organiger.,Derrota a Organiger.
QUEST_DESTINATION_0033,Defeat Gangard.,Derrota a Gangard.
QUEST_DESTINATION_0034,Defeat Hardeser.,Derrota a Hardeser.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Derrota al grupo de Mias y consigue el Informe de Mias.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Reúnete con el alcalde de Saint.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Derrota al líder de los Bangs Rojos ladrones.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Derrota a los Bangs Rojos ladrones y consigue el Símbolo de los Ladrones.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Derrota al Lord Bang y consigue el collar.
QUEST_DESTINATION_0040,Hand it to Strange Collector,Llévaselo al Coleccionista Extraño
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,Busca un huevo tras derrotar a las Red Mantis C.
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Llévaselo al Dr. Estern
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Llévaselo al Dr. Estly
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,"Por favor, dáselo al Alcalde de Darkon."
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,Llévaselo al Presidente de la Sociedad de Historia Gothante.
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,Llévaselo a la Jefa de Documentos Antiguos Rovanett
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,Llévaselo a la Gran Maga Laola
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,Llévaselo a la Historiadora Martinyc
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,Llévaselo a la Instructora Mercenary Hyuit
QUEST_DESTINATION_0061,Kill Small Mushpang,Derrota a los Mushpangs Pequeños.
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Llévaselo a la Instructora Kidmen
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Llévaselo a Hachal en Flarine.
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Llévaselo a Hachal en Darkon.
