Key,English,Vietnamese
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,Yêu cầu $ QUEST_END_ITEM_NAME $ s đã bị hủy bỏ. Bạn sẽ chấp nhận nhiệm vụ này chứ?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Lời yêu cầu dành cho Grrr Bandages đã được đưa ra.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Lời yêu cầu dành cho Ampe đã được đưa ra
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,Một yêu cầu đã được đưa ra đối dành cho Boopoison nhằm tạo ra một loại thuốc giải độc. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,Yêu cầu dành cho $ QUEST_END_ITEM_NAME $ đã được đưa ra.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,Một yêu cầu đã được đưa ra để Rootioe được sử dụng làm vật liệu chế biến gỗ. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,Bạn có thể nhận $ QUEST_END_ITEM_NAME $ từ bất kỳ loại $ QUEST_END_ITEM_MON $ nào.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Bạn có thể thu $ QUEST_END_ITEM_NAME $ từ tất cả các loại $ QUEST_END_ITEM_MON $.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,Bạn có thể thu $ QUEST_END_ITEM_NAME $ gần một cây cầu ở phía bắc.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Bạn có thể thu thập Chứng chỉ không xác định gần Bangs.
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Bạn có thể thu thập nyanyang gần Giant Nyangnyang.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Bạn có thể thu thập các tài liệu văn phòng gần Mias
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,Bạn không muốn thu thập chúng? Được thôi.
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,Bạn cần thêm $ QUEST_END_ITEM_NAME $.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,Bạn không có đủ $ QUEST_END_ITEM_NAME $.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Tốt lắm. Bạn đã hoàn thành nhiệm vụ thành công.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,Làm tốt lắm! Bạn đã hoàn thành nhiệm vụ thành công. Hãy cố gắng đừng ngại khó.
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$ QUEST_END_NPC_NAME $ rất vui vì nhiệm vụ đã được hoàn thành.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$ QUEST_END_NPC_NAME $ rất vui khi thấy nhiệm vụ đã hoàn thành.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$ QUEST_END_NPC_NAME $ rất biết ơn bạn đã hoàn thành nhiệm vụ này.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Nhóm của Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Là cần bạn để tập hợp Chupim cho bữa tiệc của cô ấy. Bạn sẽ giúp nhé?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Is yêu cầu bạn thu thập Chupim cho bữa tiệc của cô ấy.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Tình huống không xác định (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,Flaris Pang cần bạn thu thập unknown letters. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,Flaris Pang muốn bạn thu về $ QUEST_END_ITEM_NAME $.
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,Flaris Pang cần bạn thu thập Unknown Certificates. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Hội đồng bay
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior cần bạn thu thập Peakyrinds. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Dior muốn bạn sưu tập Peakyrinds.
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Khởi đầu mới cho Mop
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,House of Children cần bạn thu thập Mop cho con họ. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,House of Children muốn bạn thu thập 3 Mop.
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Đá quý cho Wands
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,Madrigal Magician Union muốn bạn thu thập Poporam để làm đũa phép của họ. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,Madrigal Magician Union muốn bạn thu thập 4 Poporam.
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget","Máy làm bánh quy, Valin Baget"
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin cần bạn thu thập Slain để cung cấp nhiên liệu cho Máy làm bánh quy của anh ta. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Valin cần bạn thu thập Slain cho máy làm bánh quy của anh ta.
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Magic Quill
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Mule muốn bạn thu thập rễ cây Tarin để anh ta có thể làm một cây bút ma thuật mới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Mule cần bạn thu thập rễ Tarin.
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Lyangglatang
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,Rooney muốn bạn thu thập Nyanyangs cho bữa tiệc của cô ấy. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Rooney cần bạn thu thập Nyanyangs.
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,Quà kỷ niệm 10 năm
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Marche muốn bạn thu thập Starstones để làm quà kỷ niệm 10 năm. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche cần Starstones
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Rượu cho Dunkan
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Dunkan cần bạn thu thập Golden Wings để làm một loại rượu mới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan muốn Golden Wings.
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Món tráng miệng ngọt ngào
