Key,English,Finnish
TEXTEMOTION_TXT_000000,Laugh,Nauru
TEXTEMOTION_TXT_000001,Sad,Suru
TEXTEMOTION_TXT_000002,Kiss,Suudelma
TEXTEMOTION_TXT_000003,Surprise,Yllätys
TEXTEMOTION_TXT_000004,Blush,Punastua
TEXTEMOTION_TXT_000005,Anger,Viha
TEXTEMOTION_TXT_000006,Sigh,Huokaus
TEXTEMOTION_TXT_000007,Wink,Vihjailla
TEXTEMOTION_TXT_000008,Ache,Kipu
TEXTEMOTION_TXT_000009,Hunger,Nälkä
TEXTEMOTION_TXT_000010,Yummy,Herkullinen
TEXTEMOTION_TXT_000011,Sneer,Irvistää
TEXTEMOTION_TXT_000012,Sparkle,Kimallella
TEXTEMOTION_TXT_000013,Ridicule,Naurettava
TEXTEMOTION_TXT_000014,Sleepy,Uninen
TEXTEMOTION_TXT_000015,Rich,Rikas
TEXTEMOTION_TXT_000016,Glare,Mulkoilla
TEXTEMOTION_TXT_000017,Sweat,Hiki
TEXTEMOTION_TXT_000018,Cat face,Kissanaama
TEXTEMOTION_TXT_000019,Tongue,Kieli
TEXTEMOTION_TXT_000020,Mad,Vihainen
TEXTEMOTION_TXT_000021,Aha,Ahaa
TEXTEMOTION_TXT_000022,Embarrassed,Nolostunut
TEXTEMOTION_TXT_000023,Help,Apua
TEXTEMOTION_TXT_000024,Crazy,Hullu
TEXTEMOTION_TXT_000025,Oh!,Aih!
TEXTEMOTION_TXT_000026,Confused,Hämmästynyt
TEXTEMOTION_TXT_000027,Ouch,Auts
TEXTEMOTION_TXT_000028,Love,Rakkaus
TEXTEMOTION_TXT_100000,Risitas,Kikatella
TEXTEMOTION_TXT_100001,Broken Heart,Särkynyt Sydän
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
