Key,English,German
TEXTEMOTION_TXT_000000,Laugh,Lachen
TEXTEMOTION_TXT_000001,Sad,traurig
TEXTEMOTION_TXT_000002,Kiss,küssen
TEXTEMOTION_TXT_000003,Surprise,omg
TEXTEMOTION_TXT_000004,Blush,verlegen
TEXTEMOTION_TXT_000005,Anger,verärgert
TEXTEMOTION_TXT_000006,Sigh,skeptisch
TEXTEMOTION_TXT_000007,Wink,zwinkern
TEXTEMOTION_TXT_000008,Ache,krank
TEXTEMOTION_TXT_000009,Hunger,hungrig
TEXTEMOTION_TXT_000010,Yummy,lecker
TEXTEMOTION_TXT_000011,Sneer,cool
TEXTEMOTION_TXT_000012,Sparkle,strahlen
TEXTEMOTION_TXT_000013,Ridicule,grinsen
TEXTEMOTION_TXT_000014,Sleepy,müde
TEXTEMOTION_TXT_000015,Rich,geldgierig
TEXTEMOTION_TXT_000016,Glare,grummel
TEXTEMOTION_TXT_000017,Sweat,hoppla
TEXTEMOTION_TXT_000018,Cat face,frech
TEXTEMOTION_TXT_000019,Tongue,zunge
TEXTEMOTION_TXT_000020,Mad,sauer
TEXTEMOTION_TXT_000021,Aha,idee
TEXTEMOTION_TXT_000022,Embarrassed,peinlich
TEXTEMOTION_TXT_000023,Help,hilfe
TEXTEMOTION_TXT_000024,Crazy,irre
TEXTEMOTION_TXT_000025,Oh!,argh
TEXTEMOTION_TXT_000026,Confused,verwirrt
TEXTEMOTION_TXT_000027,Ouch,aua
TEXTEMOTION_TXT_000028,Love,liebe
TEXTEMOTION_TXT_100000,Risitas,Risitas
TEXTEMOTION_TXT_100001,Broken Heart,Gebrochenes Herz
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
