Key,English,Vietnamese
PROPKARMA_TXT_000000,Glorious,Vinh quang
PROPKARMA_TXT_000002,Illustrious,Minh họa
PROPKARMA_TXT_000004,Famed,Nổi tiếng
PROPKARMA_TXT_000006,Admired,Được ngưỡng mộ
PROPKARMA_TXT_000008,Proper,Đúng đắn
PROPKARMA_TXT_000010,Kind,Loại
PROPKARMA_TXT_000012,Neutral,Trung lập
PROPKARMA_TXT_000014,Rude,Thô lỗ
PROPKARMA_TXT_000016,Unsavory,Không có mùi vị
PROPKARMA_TXT_000018,Scoundrel,Vô lại
PROPKARMA_TXT_000020,Cold Hearted,Vô cảm
PROPKARMA_TXT_000022,Brutal,Tàn bạo
PROPKARMA_TXT_000024,Vicious,Luẩn quẩn
