Key,English,Vietnamese
TEXTEMOTION_TXT_000000,Laugh,Cười
TEXTEMOTION_TXT_000001,Sad,Buồn
TEXTEMOTION_TXT_000002,Kiss,Hôn
TEXTEMOTION_TXT_000003,Surprise,Ngạc nhiên
TEXTEMOTION_TXT_000004,Blush,Má hồng
TEXTEMOTION_TXT_000005,Anger,Sự tức giận
TEXTEMOTION_TXT_000006,Sigh,Thở dài
TEXTEMOTION_TXT_000007,Wink,Nháy mắt
TEXTEMOTION_TXT_000008,Ache,Đau nhức
TEXTEMOTION_TXT_000009,Hunger,Cơn đói
TEXTEMOTION_TXT_000010,Yummy,Ngon 
TEXTEMOTION_TXT_000011,Sneer,Giễu cợt
TEXTEMOTION_TXT_000012,Sparkle,Lấp lánh
TEXTEMOTION_TXT_000013,Ridicule,Lố bịch
TEXTEMOTION_TXT_000014,Sleepy,Ngáy ngủ
TEXTEMOTION_TXT_000015,Rich,Giàu
TEXTEMOTION_TXT_000016,Glare,Lườm
TEXTEMOTION_TXT_000017,Sweat,Mồ hôi
TEXTEMOTION_TXT_000018,Cat face,Mặt mèo
TEXTEMOTION_TXT_000019,Tongue,Lưỡi
TEXTEMOTION_TXT_000020,Mad,Điên
TEXTEMOTION_TXT_000021,Aha,Aha
TEXTEMOTION_TXT_000022,Embarrassed,Lúng túng
TEXTEMOTION_TXT_000023,Help,Giúp đỡ
TEXTEMOTION_TXT_000024,Crazy,Khùng
TEXTEMOTION_TXT_000025,Oh!,Oh!
TEXTEMOTION_TXT_000026,Confused,Bối rối
TEXTEMOTION_TXT_000027,Ouch,Ouch
TEXTEMOTION_TXT_000028,Love,Yêu
TEXTEMOTION_TXT_100000,Risitas,Risitas
TEXTEMOTION_TXT_100001,Broken Heart,Trái tim tan vỡ
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
