Key,English,Vietnamese
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Thu thập Đá Twinke bằng cách săn Aibatt.
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Giao nó cho Người hướng dẫn pháp sư Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Giao nó cho Thợ may hướng dẫn Acrobat.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Thoát khỏi Ren từ Đền Iblis nằm ở phía nam của Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Thoát khỏi Sisif và tìm đá linh hồn của Hero.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Thoát khỏi Người canh gác Venel và tìm trái tim Venel.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Thoát khỏi Rubo và tìm Bức thư của Hynan
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Thoát khỏi Prankster và tìm Sách Lịch sử Anh hùng
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Giao bông tai của Heren cho Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Thoát khỏi Shacalpion và đi tìm Nước Mắt Bóng Đêm.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Thoát khỏi Kidler và tìm manh mối của Golden Helmet.
QUEST_DESTINATION_0018,Meet Kurumin.,Gặp gỡ Kurumin
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Đánh bại bánh xe và lấy viên đá linh hồn
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Đánh bại hoaren và lấy Tài liệu Hội trường.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Đánh bại người đi bộ hơi nước và nhận được áp phích kỹ năng (Master)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Gặp gỡ Segho và đưa cho anh ta Tài liệu Hội trường.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Đánh bại Ren và lấy con dấu của Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Gặp gỡ Tesar và trao cho anh ta Con dấu của Aenn.
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Đánh bại thợ săn X và lấy Giọt nước mắt của Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Đánh bại kinsay và nhận Magic Underwear of Power.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.","Gặp gỡ Rufan, ông chủ của lá cờ xanh và đưa cho anh ta Magic Underwear of Power."
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Gặp gỡ Parinee, quản lý của ga Saint City và trao cho cô ấy Feather of Magic Power."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Mang nó cho thị trưởng của Darkon
QUEST_DESTINATION_0032,Defeat Organiger.,Đánh bại Ban tổ chức.
QUEST_DESTINATION_0033,Defeat Gangard.,Đánh bại Gangard.
QUEST_DESTINATION_0034,Defeat Hardeser.,Đánh bại Hardeser.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Đánh bại nhóm Mia và lấy Mia Report.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Gặp gỡ thị trưởng của Thành phố Saint
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Đánh bại thủ lĩnh của băng đỏ Thieves.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Đánh bại bang đỏ Thieves và nhận được biểu tượng của những tên trộm.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Giết Chúa tể Bang và lấy vòng cổ.
QUEST_DESTINATION_0040,Hand it to Strange Collector,Giao nó cho Người sưu tầm kỳ lạ
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,Tìm một quả trứng sau khi giết Red Mantis C
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Mang nó cho Tiến sĩ Estern
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Mang nó cho Tiến sĩ Estly
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,Hãy đưa nó cho Thị trưởng ở Darkon
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,Mang nó cho Chủ tịch Hiệp hội Lịch sử Gothante
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,Mang nó đến Người quản lý tài liệu cổ Rovanett
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,Mang nó đến Nhà ảo thuật vĩ đại Laola
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,Mang nó cho Sử gia Martinyc
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,Mang nó đến Mercenary Instructor Hyuit
QUEST_DESTINATION_0061,Kill Small Mushpang,Giết Small Mushpang
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Mang nó đến Assist Instructor Kidmen
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Mang nó đến Hachal ở Flarine
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Mang nó đến Hachal trong Darkon
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,"Nhận thư từ Rankashu, người đang đứng trước hầm mỏ Dekane"
QUEST_DESTINATION_0067,Drian exists in the first room,Drian tồn tại trong căn phòng đầu tiên
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,Giết keakoon trong phòng thứ ba và lấy chìa khóa
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,Di chuyển đến căn phòng thứ ba và kiểm tra một phòng giam nơi Nevil bị khóa.
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Giết Elite Keakoon Guard Leaders trong phòng thứ ba.
QUEST_DESTINATION_0071,Talk with Nevin in prison,Nói chuyện với Nevin trong tù
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Đập quả trứng Rắn ở phòng thứ năm và lấy 15 Chất lỏng Rắn màu hồng
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Đập quả trứng Rắn trong phòng thứ tư và lấy 15 Chất lỏng Rắn màu xanh
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Lấy 30 Cillins gần đây
QUEST_DESTINATION_0077,Meet Kazen,Gặp gỡ Kazen
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,Di chuyển đến chỗ Kazen và giết Green Trillipy. Sau đó nhận được 30 Ribenuums
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,Bạn có thể tìm thấy Nein trong Dead Waldernis of Darkon 3 và thực hiện 'Tìm Tridum'. Sau đó thu thập 10 Ribenuums
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.","Nói chuyện với Cell trong Darkon 1 và thực hiện 'Truy tìm dấu vết của thẻ căn cước'. Sau khi nhận được chìa khóa, bạn có thể nhận được 20 Tridum."
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Mang Ribenuum đến Nein
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,Bạn có thể thấy Mutant Fefern và Mutant Nyangnyang Queen ở gần đó.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,Giết Vice Veduque sống trong căn phòng cuối cùng của hầm ngục sao Hỏa.
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,Nó tồn tại ở Iblis và sách Khải Huyền có thể được tìm thấy trong căn phòng cuối cùng bên trái.
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Giết 8 Iblis Crashers trong Đền Iblis
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Giết Người canh gác Iblis trong Đền Iblis
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,Có được Pattern bằng cách Giết Người canh gác Iblis.
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,Vui lòng mua Long Sword từ [Shield] Luda.
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.","Sau khi nói chuyện với Drian, lấy một cái túi."
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,Một nhóm Ban tổ chức tồn tại gần đó.
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,Một nhóm Gangard tồn tại gần đó.
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,Một nhóm Hadeseor tồn tại gần đó.
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion đã cho bạn Mảnh Vỡ Kỉ Niệm này.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Reodos đã đưa cho bạn Mặt dây chuyền của Anh hùng Nguyên tố
QUEST_DESTINATION_1002,Zoro gave you this letter.,Zoro đã đưa cho bạn bức thư này.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Mang lá thư này cho Zoro.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,Bạn nhận được chiếc nhẫn hứa này từ Garbagespiders.
QUEST_DESTINATION_1005,Bring this Letter to Dior.,Mang lá thư này đến Dior.
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,Mang Mặt dây chuyền của Anh hùng đến Reonan.
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,Bạn nhận được Mặt dây chuyền của Anh hùng từ Bearnerkys.
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,Mang Agony Ore đến Ainher
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Symbols of Shade rơi ra từ Violet masquerpets với cấp độ gần bằng cấp độ của bạn.
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,Thu thập Eron từ Erons Catchers.
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,Thu thập Krasec từ Krasec Catchers.
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,Thu thập Mineral từ Mineral Catchers.
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,Thu thập Guru từ Guru Catchers.
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,Đưa Smelted Steels cho Chenbing.
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,Đưa Metallurgical Bull Ring cho Colack.
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,Đưa Supercharged Lightning Rod cho Gothante.
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,Thu thập $QUEST_END_ITEM_NAME$ từ trùm ngục tối cuối cùng.
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,Đưa Elixir of Cleansing cho Hael.
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,Thu thập Ultima từ những người khổng lồ và rương kho báu.
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,Giết %s Prismatic Cobras và Water Totem Pole
