Key,English,Portuguese
TEXTEMOTION_TXT_000000,Laugh,Rir
TEXTEMOTION_TXT_000001,Sad,triste
TEXTEMOTION_TXT_000002,Kiss,beijo
TEXTEMOTION_TXT_000003,Surprise,surpresa
TEXTEMOTION_TXT_000004,Blush,corar
TEXTEMOTION_TXT_000005,Anger,raiva
TEXTEMOTION_TXT_000006,Sigh,suspirar
TEXTEMOTION_TXT_000007,Wink,piscar
TEXTEMOTION_TXT_000008,Ache,dor
TEXTEMOTION_TXT_000009,Hunger,fome
TEXTEMOTION_TXT_000010,Yummy,delicioso
TEXTEMOTION_TXT_000011,Sneer,zombar
TEXTEMOTION_TXT_000012,Sparkle,brilhar
TEXTEMOTION_TXT_000013,Ridicule,ridicularizar
TEXTEMOTION_TXT_000014,Sleepy,sonolento
TEXTEMOTION_TXT_000015,Rich,rico
TEXTEMOTION_TXT_000016,Glare,encarar
TEXTEMOTION_TXT_000017,Sweat,suar
TEXTEMOTION_TXT_000018,Cat face,gato
TEXTEMOTION_TXT_000019,Tongue,língua
TEXTEMOTION_TXT_000020,Mad,irado
TEXTEMOTION_TXT_000021,Aha,aha
TEXTEMOTION_TXT_000022,Embarrassed,envergonhado
TEXTEMOTION_TXT_000023,Help,ajuda
TEXTEMOTION_TXT_000024,Crazy,louco
TEXTEMOTION_TXT_000025,Oh!,oh!
TEXTEMOTION_TXT_000026,Confused,confuso
TEXTEMOTION_TXT_000027,Ouch,ai
TEXTEMOTION_TXT_000028,Love,amor
TEXTEMOTION_TXT_100000,Risitas,Risitas
TEXTEMOTION_TXT_100001,Broken Heart,Coração Partido
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Caramba
TEXTEMOTION_TXT_100006,Acktually,Acktually
