Key,English,Russian
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Луиза получила просьбу раздобыть бандажи гр-ров.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Луиза получила просьбу раздобыть амперы. Пойду-ка я охотиться на вольтов…
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,"Хм-м… 'Зельеварам нужен яд задушиц, чтобы сделать от него противоядие.' Возьмешься?"
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,A request has gone out for $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,"Ну-ка... 'Строителям нужна кора, чтобы покрыть крыши домов.' Возьмешься?"
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,"Фальшивые купоны разбросаны за Плакучей рекой - там, где бродят Громы. И знаешь - меня это совсем не удивляет."
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,"Вискис есть повсюду, где живут гигантские Кисандры."
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,"Чтобы вернуть официальные бумаги, придется пойти туда, где живут Миа."
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,You do not want to collect them? Okay.
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,You need more $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,You do not have enough $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Отличная работа! Вычеркиваю эту просьбу из списка.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,Good Job! You successfully completed the quest. Take this for your trouble.
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ was happy that the quest was completed.
